ID,Contract,Player,Column1,Team,Position,Status,Age,Opponent,Salary,FPts,FP/G,Ros,,
*06mr5*,ELC2,Matt Lahey,Lahey,TOR,D,FA,18,,"525,000",0,0,0%,,"06mr5,ELC2"
*06mhb*,ELC2,Hunter Laing,Laing,CGY,RW,FA,19,,"525,000",0,0,5%,,"06mhb,ELC2"
*06snd*,ELC1,Lynden Lakovic,Lakovic,WSH,LW,FA,18,,"525,000",0,0,40%,,"06snd,ELC1"
*06c5p*,ELC3,Axel Landen,Landen,SJS,D,FA,20,,"525,000",0,0,8%,,"06c5p,ELC3"
*06uka*,ELC1,Aidan Lane,Lane,CGY,RW,FA,18,,"525,000",0,0,10%,,"06uka,ELC1"
*06tyv*,ELC1,Matthew Lansing,Lansing,VAN,C,FA,18,,"525,000",0,0,8%,,"06tyv,ELC1"
*06rqk*,ELC1,Sam Laurila,Laurila,NYI,D,FA,18,,"525,000",0,0,10%,,"06rqk,ELC1"
*06mgy*,ELC2,Tomas Lavoie,Lavoie,UTA,D,FA,19,,"525,000",0,0,20%,,"06mgy,ELC2"
*06sqm*,ELC1,Ryker Lee,Lee,NSH,RW,FA,18,,"525,000",0,0,32%,,"06sqm,ELC1"
*06jhg*,ELC2,Ryerson Leenders,Leenders,BUF,G,FA,19,,"525,000",0,0,18%,,"06jhg,ELC2"
*05ylu*,ELC4,Topias Leinonen,Leinonen,BUF,G,FA,20,,"525,000",0,0,24%,,"05ylu,ELC4"
*06mra*,ELC2,Stevie Leskovar,Leskovar,MIN,D,FA,20,,"525,000",0,0,5%,,"06mra,ELC2"
*06axf*,ELC3,Connor Levis,Levis,WPG,C,FA,20,,"525,000",0,0,5%,,"06axf,ELC3"
*06uvc*,ELC1,David Lewandowski,Lewandowski,EDM,LW,FA,18,,"525,000",0,0,10%,,"06uvc,ELC1"
*06sn3*,ELC1,Kurban Limatov,Limatov,CAR,D,FA,18,,"525,000",0,0,28%,,"06sn3,ELC1"
*06axu*,ELC3,Kalan Lind,Lind,NSH,LW,FA,20,,"525,000",0,0,28%,,"06axu,ELC3"
*06sqe*,ELC1,Zeb Lindgren,Lindgren,NYR,D,FA,18,,"525,000",0,0,10%,,"06sqe,ELC1"
*06bad*,ELC3,Jaden Lipinski,Lipinski,CGY,C,FA,20,,"525,000",0,0,10%,,"06bad,ELC3"
*062sl*,ELC4,Cade Littler,Littler,CGY,C,FA,20,,"525,000",0,0,2%,,"062sl,ELC4"
*06tmk*,ELC1,Jimmy Lombardi,Lombardi,LAK,C,FA,18,,"525,000",0,0,10%,,"06tmk,ELC1"
*06mqs*,ELC2,Markus Loponen,Loponen,WPG,C,FA,19,,"525,000",0,0,10%,,"06mqs,ELC2"
*06sfx*,ELC1,Jeremy Loranger,Loranger,CBJ,C,FA,18,,"525,000",0,0,10%,,"06sfx,ELC1"
*06c96*,ELC3,Andrei Loshko,Loshko,SEA,"C,RW",FA,20,,"525,000",0,0,12%,,"06c96,ELC3"
